x,y,z,yaw,pitch,roll,q1_in,q2_in,q3_in,q4_in,q5_in,q6_in,q1_out,q2_out,q3_out,q4_out,q5_out,q6_out
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3337,-0.3026,-0.4872,1.4079,0.6255,-5.8528,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2083,-0.3462,-0.5683,1.3469,0.4723,-5.7938,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2175,-0.2608,-0.5226,1.4075,0.5409,-5.8061,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2264,-0.2654,-0.4499,1.2761,0.5677,-5.8675,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2514,-0.2613,-0.4675,1.2679,0.5835,-5.8693,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3695,-0.3599,-0.3885,1.3353,0.529,-5.7674,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.245,-0.3907,-0.5797,1.4001,0.6622,-5.9235,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3537,-0.2764,-0.5568,1.2756,0.5134,-5.8344,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2918,-0.3274,-0.4156,1.3193,0.6135,-5.7644,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3098,-0.3673,-0.4086,1.331,0.6552,-5.8654,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2115,-0.3617,-0.4195,1.3833,0.6479,-5.9157,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.236,-0.41,-0.3964,1.2884,0.593,-5.7735,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3793,-0.2321,-0.5135,1.4123,0.5751,-5.8277,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3667,-0.3412,-0.5349,1.3684,0.5981,-5.7831,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,1.9324,-0.0661,-0.5624,-1.6254,0.61,6.8767,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
